,point_timestamp,point_value
0,2021-09-17,319.0
1,2021-09-18,70.0
2,2021-09-19,440.0
3,2021-09-20,171.0
4,2021-09-21,789.0
5,2021-09-22,706.0
6,2021-09-23,1059.0
7,2021-09-24,156.0
8,2021-09-25,220.0
9,2021-09-26,62.0
10,2021-09-27,174.0
11,2021-09-28,78.0
12,2021-09-29,161.0
13,2021-09-30,829.0
14,2021-10-01,234.0
15,2021-10-02,211.0
16,2021-10-03,546.0
17,2021-10-04,220.0
18,2021-10-05,603.0
19,2021-10-06,179.0
20,2021-10-07,239.0
21,2021-10-08,810.0
22,2021-10-09,60.0
23,2021-10-10,618.0
24,2021-10-11,1802.0
25,2021-10-12,107.0
26,2021-10-13,620.0
27,2021-10-14,311.0
28,2021-10-15,242.0
29,2021-10-16,175.0
30,2021-10-17,357.0
31,2021-10-18,147.0
32,2021-10-19,433.0
33,2021-10-20,260.0
34,2021-10-21,640.0
35,2021-10-22,278.0
36,2021-10-23,37.0
37,2021-10-24,288.0
38,2021-10-25,1143.0
39,2021-10-26,333.0
40,2021-10-27,641.0
41,2021-10-28,474.0
42,2021-10-29,543.0
43,2021-10-30,217.0
44,2021-10-31,651.0
45,2021-11-01,2838.0
46,2021-11-02,1795.0
47,2021-11-03,299.0
48,2021-11-04,2006.0
49,2021-11-05,353.0
50,2021-11-06,66.0
51,2021-11-07,623.0
52,2021-11-08,177.0
53,2021-11-09,766.0
54,2021-11-10,2139.0
55,2021-11-11,2219.0
56,2021-11-12,3532.0
57,2021-11-13,666.0
58,2021-11-14,1367.0
59,2021-11-15,226.0
60,2021-11-16,917.0
61,2021-11-17,267.0
62,2021-11-18,306.0
63,2021-11-19,297.0
64,2021-11-20,45.0
65,2021-11-21,347.0
66,2021-11-22,147.0
67,2021-11-23,196.0
68,2021-11-24,12544.0
69,2021-11-25,106.0
70,2021-11-26,5343.0
71,2021-11-27,2080.0
72,2021-11-28,723.0
73,2021-11-29,1119.0
74,2021-11-30,1653.0
75,2021-12-01,1232.0
76,2021-12-02,611.0
77,2021-12-03,2989.0
78,2021-12-04,9989.0
79,2021-12-05,486.0
80,2021-12-06,6211.0
81,2021-12-07,500.0
82,2021-12-08,690.0
83,2021-12-09,794.0
84,2021-12-10,193.0
85,2021-12-11,87.0
86,2021-12-12,68.0
87,2021-12-13,356.0
88,2021-12-14,243.0
89,2021-12-15,1637.0
90,2021-12-16,318.0
91,2021-12-17,269.0
92,2021-12-18,247.0
93,2021-12-19,442.0
94,2021-12-20,235.0
95,2021-12-21,1247.0
96,2021-12-22,520.0
97,2021-12-23,223.0
98,2021-12-24,43.0
99,2021-12-25,16.0
100,2021-12-26,403.0
101,2021-12-27,91.0
102,2021-12-28,209.0
103,2021-12-29,441.0
104,2021-12-30,14161.0
105,2021-12-31,16157.0
106,2022-01-01,4255.0
107,2022-01-02,2198.0
108,2022-01-03,35268.0
109,2022-01-04,15689.0
110,2022-01-05,853.0
111,2022-01-06,1241.0
112,2022-01-07,201.0
113,2022-01-08,304.0
114,2022-01-09,117.0
115,2022-01-10,316.0
116,2022-01-11,145.0
117,2022-01-12,235.0
118,2022-01-13,120.0
119,2022-01-14,209.0
120,2022-01-15,173.0
121,2022-01-16,555.0
122,2022-01-17,1099.0
123,2022-01-18,8880.0
124,2022-01-19,240.0
125,2022-01-20,317.0
126,2022-01-21,255.0
127,2022-01-22,175.0
128,2022-01-23,175.0
129,2022-01-24,597.0
130,2022-01-25,259.0
131,2022-01-26,202.0
132,2022-01-27,110.0
133,2022-01-28,198.0
134,2022-01-29,95.0
135,2022-01-30,386.0
136,2022-01-31,162.0
137,2022-02-01,354.0
138,2022-02-02,266.0
139,2022-02-03,476.0
140,2022-02-04,278.0
141,2022-02-05,161.0
142,2022-02-06,50.0
143,2022-02-07,248.0
144,2022-02-08,181.0
145,2022-02-09,196.0
146,2022-02-10,158.0
147,2022-02-11,322.0
148,2022-02-12,283.0
149,2022-02-13,322.0
150,2022-02-14,193.0
151,2022-02-15,238.0
152,2022-02-16,468.0
153,2022-02-17,3287.0
154,2022-02-18,226.0
155,2022-02-19,143.0
156,2022-02-20,670.0
157,2022-02-21,277.0
158,2022-02-22,329.0
159,2022-02-23,829.0
160,2022-02-24,255.0
161,2022-02-25,196.0
162,2022-02-26,259.0
163,2022-02-27,935.0
164,2022-02-28,3860.0
165,2022-03-01,272413.0
166,2022-03-02,250690.0
167,2022-03-03,241524.0
168,2022-03-04,229691.0
169,2022-03-05,92938.0
170,2022-03-06,45902.0
171,2022-03-07,12286.0
172,2022-03-08,67.0
173,2022-03-09,295.0
174,2022-03-10,258.0
175,2022-03-11,128.0
176,2022-03-12,200.0
177,2022-03-13,618.0
178,2022-03-14,299.0
179,2022-03-15,131.0
180,2022-03-16,558.0
181,2022-03-17,386.0
182,2022-03-18,585.0
183,2022-03-19,371.0
184,2022-03-20,148.0
185,2022-03-21,598.0
186,2022-03-22,321.0
187,2022-03-23,973.0
188,2022-03-24,129.0
189,2022-03-25,349.0
190,2022-03-26,48.0
191,2022-03-27,452.0
192,2022-03-28,242.0
193,2022-03-29,56.0
194,2022-03-30,179.0
195,2022-03-31,395.0
196,2022-04-01,39.0
197,2022-04-02,
198,2022-04-03,
199,2022-04-04,
200,2022-04-05,
