,point_timestamp,point_value
0,2021-01-11,53423552.0
1,2021-01-18,56541361.0
2,2021-01-25,55957540.0
3,2021-02-01,56278317.0
4,2021-02-08,50410674.0
5,2021-02-15,55480111.0
6,2021-02-22,53959938.0
7,2021-03-01,85079264.0
8,2021-03-08,128140930.0
9,2021-03-15,121860682.0
10,2021-03-22,91465490.0
11,2021-03-29,103695447.0
12,2021-04-05,139982927.0
13,2021-04-12,139608498.0
14,2021-04-19,148428022.0
15,2021-04-26,126702738.0
16,2021-05-03,137301402.0
17,2021-05-10,143723675.0
18,2021-05-17,139895574.0
19,2021-05-24,130016186.0
20,2021-05-31,119786495.0
21,2021-06-07,138928957.0
22,2021-06-14,162532677.0
23,2021-06-21,157240332.0
24,2021-06-28,150771145.0
25,2021-07-05,125368583.0
26,2021-07-12,104031209.0
27,2021-07-19,114136965.0
28,2021-07-26,104893951.0
29,2021-08-02,119783178.0
30,2021-08-09,137110246.0
31,2021-08-16,143378818.0
32,2021-08-23,158513329.0
33,2021-08-30,135151431.0
34,2021-09-06,103630669.0
35,2021-09-13,130195598.0
36,2021-09-20,139917298.0
37,2021-09-27,137881050.0
38,2021-10-04,106122848.0
39,2021-10-11,114951092.0
40,2021-10-18,141703435.0
41,2021-10-25,128838258.0
42,2021-11-01,143372436.0
43,2021-11-08,108328835.0
44,2021-11-15,128838623.0
45,2021-11-22,177421862.0
46,2021-11-29,136663617.0
47,2021-12-06,155435478.0
48,2021-12-13,140864666.0
49,2021-12-20,101642220.0
50,2021-12-27,98050621.0
51,2022-01-03,126711223.0
52,2022-01-10,145621585.0
53,2022-01-17,159626038.0
54,2022-01-24,132875177.0
55,2022-01-31,147763030.0
56,2022-02-07,141395485.0
57,2022-02-14,154522864.0
58,2022-02-21,149838115.0
59,2022-02-28,127718296.0
60,2022-03-07,144334226.0
61,2022-03-14,154799094.0
62,2022-03-21,119818700.0
63,2022-03-28,130021356.0
64,2022-04-04,129361502.0
65,2022-04-11,136359175.0
66,2022-04-18,133933990.0
67,2022-04-25,133162711.0
68,2022-05-02,153908475.0
69,2022-05-09,149055523.0
70,2022-05-16,154871088.0
71,2022-05-23,127494284.0
72,2022-05-30,110291049.0
73,2022-06-06,105244670.0
74,2022-06-13,89027208.0
